train_loss,train_acc,epoch,step,val_loss,val_acc
1.132207989692688,0.6100000143051147,0,49,,
0.5117964744567871,0.8299999833106995,0,99,,
0.32472074031829834,0.8700000047683716,0,149,,
0.16132694482803345,0.9599999785423279,0,199,,
0.16469505429267883,0.949999988079071,0,249,,
0.17837724089622498,0.9300000071525574,0,299,,
0.12985461950302124,0.9700000286102295,0,349,,
0.14421699941158295,0.9700000286102295,0,399,,
,,0,419,0.13117697834968567,0.960777759552002
0.18827161192893982,0.949999988079071,1,449,,
0.10787449777126312,0.9599999785423279,1,499,,
0.031323980540037155,0.9900000095367432,1,549,,
0.09492503851652145,0.9800000190734863,1,599,,
0.029496436938643456,1.0,1,649,,
0.02905666083097458,1.0,1,699,,
0.05868489295244217,0.9700000286102295,1,749,,
0.026565754786133766,1.0,1,799,,
,,1,839,0.0964411273598671,0.9712222218513489
0.09184248745441437,0.9599999785423279,2,849,,
0.16861386597156525,0.949999988079071,2,899,,
0.16418029367923737,0.949999988079071,2,949,,
0.14449158310890198,0.9399999976158142,2,999,,
